Age,Location,Total
0-12,Abruzzo,132296
12-19,Abruzzo,92568
20-29,Abruzzo,128330
30-39,Abruzzo,148176
40-49,Abruzzo,185634
50-59,Abruzzo,204504
60-69,Abruzzo,168878
70-79,Abruzzo,131536
80-89,Abruzzo,84626
90+,Abruzzo,20394
0-12,Basilicata,53467
12-19,Basilicata,41004
20-29,Basilicata,59650
30-39,Basilicata,64519
40-49,Basilicata,76260
50-59,Basilicata,87305
60-69,Basilicata,73674
70-79,Basilicata,52557
80-89,Basilicata,35786
90+,Basilicata,8202
0-12,Calabria,206764
12-19,Calabria,146828
20-29,Calabria,208920
30-39,Calabria,232935
40-49,Calabria,261369
50-59,Calabria,284757
60-69,Calabria,243667
70-79,Calabria,177666
80-89,Calabria,108240
90+,Calabria,24235
0-12,Campania,673642
12-19,Campania,500450
20-29,Campania,685126
30-39,Campania,706752
40-49,Campania,819391
50-59,Campania,871123
60-69,Campania,681008
70-79,Campania,491191
80-89,Campania,258456
90+,Campania,51991
0-12,Emilia-Romagna,482140
12-19,Emilia-Romagna,327229
20-29,Emilia-Romagna,420475
30-39,Emilia-Romagna,495231
40-49,Emilia-Romagna,674865
50-59,Emilia-Romagna,712475
60-69,Emilia-Romagna,549321
70-79,Emilia-Romagna,454505
80-89,Emilia-Romagna,299028
90+,Emilia-Romagna,72511
0-12,Friuli-Venezia Giulia,118620
12-19,Friuli-Venezia Giulia,84835
20-29,Friuli-Venezia Giulia,109577
30-39,Friuli-Venezia Giulia,123868
40-49,Friuli-Venezia Giulia,172496
50-59,Friuli-Venezia Giulia,197534
60-69,Friuli-Venezia Giulia,156447
70-79,Friuli-Venezia Giulia,140238
80-89,Friuli-Venezia Giulia,85322
90+,Friuli-Venezia Giulia,20357
0-12,Lazio,628437
12-19,Lazio,431221
20-29,Lazio,558855
30-39,Lazio,665641
40-49,Lazio,879906
50-59,Lazio,940470
60-69,Lazio,707706
70-79,Lazio,551477
80-89,Lazio,338530
90+,Lazio,73757
0-12,Liguria,138503
12-19,Liguria,101627
20-29,Liguria,136820
30-39,Liguria,147115
40-49,Liguria,203007
50-59,Liguria,253220
60-69,Liguria,203505
70-79,Liguria,182496
80-89,Liguria,125677
90+,Liguria,30599
0-12,Lombardia,1121360
12-19,Lombardia,769069
20-29,Lombardia,983209
30-39,Lombardia,1145186
40-49,Lombardia,1504315
50-59,Lombardia,1609940
60-69,Lombardia,1201057
70-79,Lombardia,988111
80-89,Lombardia,615067
90+,Lombardia,128433
0-12,Marche,155877
12-19,Marche,110108
20-29,Marche,145997
30-39,Marche,163324
40-49,Marche,218851
50-59,Marche,236599
60-69,Marche,194699
70-79,Marche,156000
80-89,Marche,108153
90+,Marche,25873
0-12,Molise,27706
12-19,Molise,20520
